TSPAN6,2.0181,2.0609,2.0586,2.2072,1.6559,1.7833,2.2005,1.9980,1.9481,2.0601,1.9902,3.6977,2.8333,2.1386,2.4074,2.0558
TNMD,0.0703,0.0356,0.1751,0.0688,0.3082,0.1404,0.0748,0.0402,0.0696,0.0000,0.0387,0.3632,0.1391,0.0000,0.0446,0.0000
DPM1,3.2756,3.4429,3.2305,3.4446,3.1721,3.5414,4.0053,3.5819,3.4054,3.6033,3.8616,3.6786,3.4147,3.6968,3.7060,3.7181
SCYL3,1.8046,1.7597,1.7444,1.8802,1.6012,1.8097,1.9648,1.5344,1.6507,1.6139,1.7806,1.8771,1.4537,1.1518,1.4950,2.0117
C1orf112,0.7639,0.7041,0.7415,0.7429,0.6174,0.5352,0.7301,0.5330,0.5576,0.7907,0.6728,0.9411,0.5733,0.4992,0.5772,0.8223
FGR,0.8923,0.8949,0.9117,0.9795,0.9584,0.7901,0.7810,0.7487,0.7565,0.8677,0.8431,1.0486,0.7022,0.9472,1.0115,0.8931
CFH,0.9077,1.2563,1.1409,1.1607,1.0036,1.0076,1.2977,0.9600,1.0321,1.1266,0.7938,1.8835,0.7737,0.9141,0.6531,1.4777
FUCA2,2.3146,2.6034,2.6490,2.7612,2.2501,2.4283,2.6000,2.5278,2.6005,2.6574,2.3136,3.4610,2.9676,2.2749,3.5514,3.0419
GCLC,2.3369,2.5008,2.4676,2.5170,2.1272,2.4455,2.5366,2.2719,2.5482,2.5508,2.5213,2.7937,2.4860,2.6458,3.2968,2.1422
NFYA,2.5238,2.6793,2.6680,2.7682,2.2163,2.7120,2.5663,2.5933,2.8048,2.7150,2.5514,2.8612,2.8220,2.8521,2.4454,3.5393
C1orf201,2.3672,2.1857,2.0592,2.3291,2.1521,2.3795,2.3193,2.2647,2.2208,2.1896,2.2776,1.8953,1.9065,1.7212,3.3746,1.9400
NIPAL3,4.2168,4.4389,4.5190,4.5279,4.1635,4.4325,4.2559,4.3242,4.3311,4.3072,4.3484,4.1947,4.2614,4.4492,5.0608,5.0348
LAS1L,1.9888,1.9657,2.1741,2.1224,1.7475,1.9066,2.0208,1.8540,1.8868,1.9422,1.9578,2.2494,2.1713,2.0590,2.2605,2.8365
ENPP4,3.2743,3.7497,3.8000,3.6211,3.0397,3.4852,3.7348,3.4122,3.6345,3.7101,3.5999,3.9659,3.5649,3.5034,3.8401,2.9593
SEMA3F,1.0484,0.8854,1.0543,1.0939,1.0119,0.8548,0.6407,0.7895,0.7275,0.6604,1.0686,1.4231,0.7632,2.4929,3.0560,1.3762
CFTR,0.1614,0.1336,0.0872,0.0730,0.1210,0.2691,0.0708,0.2006,0.0711,0.1396,0.2162,0.1513,0.0754,0.6294,0.0523,0.1114
ANKIB1,3.2839,3.5378,3.6066,3.4498,3.0146,3.4412,3.4381,3.3187,3.5185,3.5335,3.5430,3.7701,3.6080,3.5477,3.7549,3.5203
CYP51A1,4.1007,4.4477,4.4237,4.4406,3.9036,4.1712,4.4405,4.2472,4.3325,4.4245,4.3378,4.4676,4.3242,3.9688,4.6160,4.2880
KRIT1,2.0357,2.2611,2.0769,2.0702,1.8737,2.1586,2.2426,2.1911,2.2194,2.4219,2.5478,2.2090,2.1342,2.2020,2.0086,2.3338
RAD52,0.8063,0.7352,1.0407,0.9292,0.7151,0.6059,0.7900,0.8889,0.9019,0.9608,0.9020,1.0807,0.9324,0.8903,0.9303,1.2408
BAD,5.2461,5.2184,5.0165,5.2865,5.2377,5.0314,4.8354,5.1703,4.8350,4.8745,4.9538,4.6593,4.9146,4.9618,5.1687,4.5283
LAP3,2.8814,2.9729,2.8058,3.0040,2.5423,3.0606,2.9786,2.7763,2.8340,2.9760,2.8988,3.3023,2.9732,3.0979,3.2153,3.0996
CD99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HS3ST1,1.7214,1.5667,1.0817,1.6027,1.4737,2.1424,1.7386,2.0348,1.4837,1.4437,2.9431,1.7188,1.2184,0.5860,2.7587,3.6546
ABP1,0.0153,0.0153,0.0467,0.0149,0.1360,0.0308,0.0320,0.0000,0.0000,0.0505,0.0164,0.0000,0.0000,0.0000,0.0377,0.0138
WNT16,0.6325,0.8220,1.0835,0.8504,0.4470,0.4640,0.4411,0.7951,0.5928,0.6518,0.4242,0.7035,0.6695,0.7480,0.1491,0.8832
HECW1,3.2189,3.1874,2.8698,2.8708,2.9990,3.3282,3.0069,3.2448,3.1641,3.0352,3.2305,1.9239,2.3915,1.8727,3.0503,1.9707
MAD1L1,1.7837,1.8253,1.8779,1.8810,1.9030,1.9719,1.9109,1.7416,1.8395,1.8322,1.7882,1.7743,1.7786,2.4430,1.1981,1.7738
LASP1,5.9687,5.8993,5.6875,5.8340,5.8416,5.9873,5.9520,5.9567,5.8298,5.8216,5.8338,5.2366,5.5225,5.3864,5.8042,4.5792
SNX11,3.4526,3.3598,3.4967,3.5158,2.9766,3.3323,3.3818,3.4087,3.2730,3.2213,3.2952,3.3711,3.5607,3.5905,3.5108,3.2507
