TSPAN6,4.2027,3.7470,3.6106
TNMD,0.3264,0.2395,0.0574
DPM1,3.7366,3.1471,3.1877
SCYL3,1.6948,1.7386,1.6230
C1orf112,1.0083,0.9388,0.9235
FGR,1.8375,1.9129,1.9727
CFH,1.8957,1.8766,1.9110
FUCA2,3.7908,3.5114,3.4792
GCLC,1.6869,1.7310,1.9075
NFYA,2.7333,2.8066,3.1474
C1orf201,0.6909,1.0630,1.0011
NIPAL3,2.2975,2.6849,3.5960
LAS1L,2.6166,2.7997,2.7132
ENPP4,1.5632,1.6299,1.7764
SEMA3F,1.4956,1.8029,1.7400
CFTR,0.0144,0.0153,0.0816
ANKIB1,3.5754,3.6100,3.6468
CYP51A1,5.4280,5.1440,5.4373
KRIT1,2.1123,1.9099,1.9982
RAD52,1.3999,1.4080,1.3719
BAD,5.6142,5.3778,5.0402
LAP3,3.4868,3.5528,3.4402
CD99,0.0000,0.0000,0.0000
HS3ST1,0.6226,0.7589,0.7936
ABP1,0.0000,0.0000,0.0000
WNT16,0.3557,0.1821,0.2918
HECW1,1.0441,1.2691,1.1738
MAD1L1,1.3359,1.7613,1.6250
LASP1,5.3253,5.6299,5.6940
SNX11,3.7763,3.5105,3.1244
TMEM176A,0.5396,0.6266,0.4839
M6PR,3.3259,3.2664,3.2297
KLHL13,1.7225,1.4799,1.3762
CYP26B1,1.0679,1.3390,0.9265
ICA1,2.6014,2.6350,2.2928
DBNDD1,4.2318,4.5568,4.3614
ALS2,1.8790,2.0496,2.0237
CASP10,2.0497,1.8145,1.5640
CFLAR,2.0282,2.0470,1.9341
TFPI,1.0494,1.0818,0.8670
C2orf56,2.2954,2.2599,2.3633
RBM5,3.3461,3.4284,3.2391
MTMR7,1.4720,1.6096,1.4179
SLC7A2,1.7041,1.6380,2.6515
ARF5,6.7635,6.7298,6.1470
SARM1,3.0931,3.5069,3.3959
PLXND1,3.3359,3.6171,3.6689
AK2,3.1360,2.9117,2.9429
CD38,2.0936,2.0144,2.1385
FKBP4,3.8912,4.0558,4.0849
RBM6,3.3034,3.4930,3.5264
CAMKK1,2.4333,2.6777,2.4404
RECQL,2.6049,2.3545,2.4042
CCDC132,1.7795,1.8941,1.8603
HSPB6,3.9773,4.2862,4.6576
